ID,Percent
ACH39,77.80000305175781
ACH25,72.9000015258789
ACH04,66.80000305175781
ACH40,62.0
ACH26,60.599998474121094
ACH34,59.5
ACH18,59.099998474121094
ACH35,56.79999923706055
ACH05,54.099998474121094
ACH31,51.599998474121094
ACH29,50.20000076293945
ACH06,49.70000076293945
ACH28,48.900001525878906
ACH13,45.20000076293945
ACH21,44.5
ACH33,43.900001525878906
ACH38,43.79999923706055
ACH41,43.599998474121094
ACH07,43.20000076293945
ACH37,42.5
ACH27,42.5
ACH20,42.5
ACH10,40.70000076293945
ACH24,40.099998474121094
ACH09,40.0
ACH22,39.79999923706055
ACH36,39.599998474121094
ACH11,39.5
ACH32,39.099998474121094
ACH23,38.0
ACH08,35.5
ACH30,34.099998474121094
ACH12,28.899999618530273
ACH19,28.700000762939453
ACH02,27.399999618530273
ACH01,22.200000762939453
ACH14,17.100000381469727
ACH15,17.0
ACH17,16.799999237060547
ACH16,16.399999618530273
ACH03,15.300000190734863
ACH00,9.5
